;0
0;A
1;AA
2;AAC
3;AACG
4;AACIU
5;AADI
6;AAIC
7;AAIC^B
8;AAIC^C
9;AAIN
10;AAL
11;AAMC
12;AAME
13;AAN
14;AAOI
15;AAON
16;AAP
17;AAPL
18;AAQC
19;AAT
20;AATC
21;AAU
22;AAWW
23;AB
24;ABB
25;ABBV
26;ABC
27;ABCB
28;ABCL
29;ABCM
30;ABEO
31;ABEV
32;ABG
33;ABGI
34;ABIO
35;ABM
36;ABMD
37;ABNB
38;ABOS
39;ABR
40;ABR^D
41;ABR^E
42;ABR^F
43;ABSI
44;ABST
45;ABT
46;ABTX
47;ABUS
48;ABVC
49;AC
50;ACA
51;ACAD
52;ACAH
53;ACAHU
54;ACAHW
55;ACB
56;ACBA
57;ACBAU
58;ACBAW
59;ACBI
60;ACC
61;ACCD
62;ACCO
63;ACEL
64;ACER
65;ACET
66;ACEV
67;ACEVU
68;ACEVW
69;ACGL
70;ACGLN
71;ACGLO
72;ACH
73;ACHC
74;ACHL
75;ACHR
76;ACHV
77;ACI
78;ACII
79;ACIU
80;ACIW
81;ACKIT
82;ACKIU
83;ACKIW
84;ACLS
85;ACM
86;ACMR
87;ACN
88;ACNB
89;ACOR
90;ACP
91;ACP^A
92;ACQR
93;ACQRU
94;ACQRW
95;ACR
96;ACR^C
97;ACR^D
98;ACRE
99;ACRO
100;ACRS
101;ACRX
102;ACST
103;ACT
104;ACTD
105;ACTDU
106;ACTDW
107;ACTG
108;ACU
109;ACV
110;ACVA
111;ACXP
112;ACY
113;ADAG
114;ADALU
115;ADAP
116;ADBE
117;ADC
118;ADC^A
119;ADCT
120;ADER
121;ADERU
122;ADERW
123;ADES
124;ADEX
125;ADF
126;ADGI
127;ADI
128;ADIL
129;ADILW
130;ADM
131;ADMA
132;ADMP
133;ADMS
134;ADN
135;ADNT
136;ADNWW
137;ADOC
138;ADOCR
139;ADOCW
140;ADP
141;ADPT
142;ADRA
143;ADS
144;ADSK
145;ADT
146;ADTN
147;ADTX
148;ADUS
149;ADV
150;ADVM
151;ADVWW
152;ADX
153;ADXN
154;ADXS
155;AE
156;AEAC
157;AEACU
158;AEACW
159;AEAEU
160;AEE
161;AEF
162;AEFC
163;AEG
164;AEHAU
165;AEHL
166;AEHR
167;AEI
168;AEIS
169;AEL
170;AEL^A
171;AEL^B
172;AEM
173;AEMD
174;AENZ
175;AEO
176;AEP
177;AEPPL
178;AEPPZ
179;AER
180;AERI
181;AES
182;AESC
183;AESE
184;AEVA
185;AEY
186;AEYE
187;AEZS
188;AFAQ
189;AFAQU
190;AFAQW
191;AFB
192;AFBI
193;AFCG
194;AFG
195;AFGB
196;AFGC
197;AFGD
198;AFGE
199;AFI
200;AFIB
201;AFIN
202;AFINO
203;AFINP
204;AFL
205;AFMD
206;AFRM
207;AFT
208;AFTR
209;AFYA
210;AG
211;AGAC
212;AGBA
213;AGBAR
214;AGBAW
215;AGC
216;AGCB
217;AGCO
218;AGCUU
219;AGCWW
220;AGD
221;AGE
222;AGEN
223;AGFS
224;AGFY
225;AGGR
226;AGGRU
227;AGGRW
228;AGI
229;AGIL
230;AGILW
231;AGIO
232;AGL
233;AGLE
234;AGM
235;AGM^C
236;AGM^D
237;AGM^E
238;AGM^F
239;AGM^G
240;AGMH
241;AGNC
242;AGNCM
243;AGNCN
244;AGNCO
245;AGNCP
246;AGO
